iter	Passed	Remaining
1207	947253	74494
1208	947928	73701
1209	948629	72911
1210	949184	72109
1211	949806	71313
1212	950437	70518
1213	951070	69724
1214	951700	68929
1215	952339	68136
1216	953030	67346
1217	953793	66561
1218	954418	65767
1219	955076	64976
1220	955805	64190
1221	956482	63400
1222	957079	62605
1223	957681	61811
1224	958309	61018
1225	958956	60228
1226	959585	59436
1227	960278	58648
1228	960959	57860
1229	961709	57077
1230	962403	56290
1231	963228	55510
1232	963877	54721
1233	964560	53934
1234	965217	53145
1235	965901	52358
1236	966478	51566
1237	967244	50784
1238	967882	49995
1239	968686	49215
1240	969216	48421
1241	969925	47637
1242	970576	46850
1243	971302	46066
1244	971958	45279
1245	972659	44495
1246	973392	43712
1247	974114	42929
1248	974793	42144
1249	975487	41360
1250	976115	40573
1251	976853	39791
1252	977635	39011
1253	978228	38224
1254	978762	37434
1255	979413	36650
1256	980151	35868
1257	980783	35083
1258	981320	34295
1259	981982	33512
1260	982635	32728
1261	983283	31945
1262	983952	31162
1263	984636	30380
1264	985262	29596
1265	985781	28810
1266	986432	28028
1267	987128	27247
1268	987837	26466
1269	988381	25682
1270	988933	24898
1271	989522	24115
1272	990004	23330
1273	990623	22549
1274	991240	21768
1275	991963	20989
1276	992644	20210
1277	993170	19428
1278	993783	18648
1279	994470	17869
1280	995155	17090
1281	995738	16310
1282	996371	15531
1283	997085	14754
1284	997865	13977
1285	998532	13199
1286	999096	12420
1287	999652	11641
1288	1000306	10864
1289	1001098	10088
1290	1001861	9312
1291	1002534	8535
1292	1003170	7758
1293	1003624	6980
1294	1004353	6204
1295	1005036	5428
1296	1005770	4652
1297	1006572	3877
1298	1007309	3101
1299	1008069	2326
1300	1008797	1550
1301	1009542	775
1302	1010265	0
